(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
1.212E+05  1237.0  2.36E+08  1.51E-05  4.49E-04  3.55E-04  1.25E-07  8.38E-01  1.62E-01  3.75E-11  6.35E-05  8.71E-06  1.20E-06
1.096E+05  1225.0  2.38E+08  1.51E-05  4.49E-04  3.55E-04  1.29E-07  8.38E-01  1.62E-01  3.19E-11  6.35E-05  8.70E-06  1.21E-06
9.912E+04  1214.0  2.40E+08  1.51E-05  4.49E-04  3.55E-04  1.33E-07  8.38E-01  1.62E-01  2.77E-11  6.34E-05  8.69E-06  1.22E-06
8.963E+04  1203.0  2.42E+08  1.51E-05  4.49E-04  3.55E-04  1.37E-07  8.38E-01  1.62E-01  2.46E-11  6.34E-05  8.68E-06  1.23E-06
8.112E+04  1193.0  2.44E+08  1.51E-05  4.49E-04  3.55E-04  1.41E-07  8.38E-01  1.62E-01  2.26E-11  6.35E-05  8.67E-06  1.24E-06
7.338E+04  1183.0  2.46E+08  1.51E-05  4.49E-04  3.55E-04  1.45E-07  8.38E-01  1.62E-01  2.18E-11  6.35E-05  8.66E-06  1.25E-06
6.637E+04  1173.0  2.48E+08  1.51E-05  4.49E-04  3.55E-04  1.49E-07  8.38E-01  1.62E-01  2.23E-11  6.35E-05  8.64E-06  1.27E-06
6.001E+04  1163.0  2.50E+08  1.51E-05  4.49E-04  3.55E-04  1.53E-07  8.38E-01  1.62E-01  2.43E-11  6.35E-05  8.63E-06  1.28E-06
5.430E+04  1155.0  2.52E+08  1.50E-05  4.49E-04  3.55E-04  1.56E-07  8.38E-01  1.62E-01  2.83E-11  6.34E-05  8.61E-06  1.30E-06
4.908E+04  1146.0  2.54E+08  1.50E-05  4.49E-04  3.55E-04  1.60E-07  8.38E-01  1.62E-01  3.43E-11  6.35E-05  8.59E-06  1.31E-06
4.441E+04  1139.0  2.56E+08  1.50E-05  4.48E-04  3.55E-04  1.63E-07  8.38E-01  1.62E-01  4.29E-11  6.35E-05  8.58E-06  1.33E-06
4.019E+04  1133.0  2.57E+08  1.50E-05  4.49E-04  3.55E-04  1.67E-07  8.38E-01  1.62E-01  5.46E-11  6.35E-05  8.56E-06  1.35E-06
3.635E+04  1127.0  2.59E+08  1.50E-05  4.48E-04  3.55E-04  1.70E-07  8.38E-01  1.62E-01  6.93E-11  6.35E-05  8.54E-06  1.37E-06
3.288E+04  1122.0  2.61E+08  1.49E-05  4.49E-04  3.55E-04  1.73E-07  8.37E-01  1.62E-01  8.75E-11  6.34E-05  8.51E-06  1.39E-06
2.974E+04  1117.0  2.63E+08  1.49E-05  4.49E-04  3.55E-04  1.76E-07  8.38E-01  1.62E-01  1.09E-10  6.35E-05  8.49E-06  1.41E-06
2.692E+04  1113.0  2.65E+08  1.49E-05  4.49E-04  3.55E-04  1.78E-07  8.38E-01  1.62E-01  1.35E-10  6.35E-05  8.46E-06  1.44E-06
2.433E+04  1108.0  2.67E+08  1.49E-05  4.49E-04  3.55E-04  1.81E-07  8.38E-01  1.62E-01  1.63E-10  6.35E-05  8.43E-06  1.47E-06
1.752E+04  1093.0  2.73E+08  1.48E-05  4.49E-04  3.55E-04  1.91E-07  8.38E-01  1.62E-01  2.79E-10  6.35E-05  8.32E-06  1.57E-06
1.251E+04  1076.0  2.79E+08  1.46E-05  4.49E-04  3.55E-04  2.01E-07  8.38E-01  1.62E-01  4.10E-10  6.35E-05  8.18E-06  1.71E-06
