(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
4.618E-02  1200.3  4.79E+08  1.28E-10  3.23E-04  2.61E-04  2.39E-07  5.20E-01  1.33E-01  9.01E-08  4.39E-05  8.95E-12  2.19E-06
3.896E-02  1321.5  4.83E+08  2.27E-10  2.96E-04  2.52E-04  1.46E-07  4.86E-01  1.30E-01  1.15E-07  3.93E-05  2.51E-11  2.71E-06
3.287E-02  1454.7  4.87E+08  3.11E-10  2.61E-04  2.39E-04  8.40E-08  4.41E-01  1.25E-01  1.51E-07  3.32E-05  5.66E-11  3.15E-06
2.773E-02  1765.7  4.92E+08  5.12E-10  2.14E-04  2.02E-04  3.56E-08  3.78E-01  1.19E-01  2.00E-07  2.52E-05  2.35E-10  2.90E-06
2.340E-02  2347.1  4.99E+08  4.39E-10  1.52E-04  1.03E-04  1.03E-08  2.72E-01  1.08E-01  2.14E-07  1.43E-05  7.42E-10  9.55E-07
1.974E-02  3208.4  5.09E+08  2.52E-11  6.34E-05  1.02E-05  7.78E-10  1.07E-01  9.04E-02  3.95E-08  3.30E-06  2.11E-10  3.69E-08
1.665E-02  4270.8  5.24E+08  5.93E-16  6.39E-06  1.67E-08  1.73E-12  6.71E-03  7.49E-02  1.03E-12  2.21E-07  1.07E-13  1.12E-10
1.405E-02  5167.1  5.47E+08  9.16E-22  1.38E-07  7.65E-13  1.01E-16  7.46E-05  6.28E-02  6.07E-19  3.34E-09  4.22E-19  1.27E-14
1.185E-02  5923.2  5.75E+08  2.25E-27  0.00E+00  4.93E-18  0.00E+00  3.06E-07  5.00E-02  0.00E+00  0.00E+00  5.19E-25  0.00E+00
1.000E-02  6000.0  6.09E+08  1.00E-32  1.24E-11  2.07E-23  1.00E-25  1.32E-09  3.83E-02  0.00E+00  1.46E-13  4.92E-31  9.93E-25
